Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
impress/impress.js,2011-12-28 22:23:19 UTC,2018-11-29 14:44:53 UTC,34229,JavaScript,4.36
facebook/flux,2014-07-20 23:33:08 UTC,2018-07-10 16:03:57 UTC,15365,JavaScript,4.36
meteor/meteor,2012-01-19 01:58:17 UTC,2018-06-05 18:25:01 UTC,39888,JavaScript,4.37
designmodo/Flat-UI,2013-03-03 15:36:49 UTC,2018-05-01 04:53:23 UTC,13972,CSS,4.37
PHPMailer/PHPMailer,2011-08-23 07:57:17 UTC,2018-12-10 13:17:26 UTC,12217,PHP,4.38
necolas/normalize.css,2011-05-04 10:20:25 UTC,2018-11-27 14:42:58 UTC,33134,CSS,4.38
Alamofire/Alamofire,2014-07-31 05:56:19 UTC,2018-12-06 06:58:36 UTC,29642,Swift,4.39
astaxie/build-web-application-with-golang,2012-08-02 11:49:35 UTC,2018-12-11 03:53:07 UTC,26732,Go,4.4
bcit-ci/CodeIgniter,2011-08-19 13:34:00 UTC,2018-12-08 13:39:22 UTC,16773,PHP,4.4
square/retrofit,2010-09-06 21:39:43 UTC,2018-12-21 14:28:43 UTC,30749,Java,4.41
yiisoft/yii,2012-02-15 16:26:22 UTC,2018-07-20 08:47:09 UTC,4873,PHP,4.41
twbs/bootstrap-sass,2011-09-06 18:58:49 UTC,2018-12-21 02:12:55 UTC,12709,Ruby,4.42
hakimel/reveal.js,2011-06-07 18:54:22 UTC,2018-12-10 19:14:58 UTC,43703,JavaScript,4.42
linnovate/mean,2013-05-22 12:15:47 UTC,2018-12-21 14:13:20 UTC,11455,TypeScript,4.44
rails/rails,2008-04-11 02:19:47 UTC,2018-12-04 16:52:31 UTC,41551,Ruby,4.44
robbyrussell/oh-my-zsh,2009-08-28 18:15:37 UTC,2018-12-22 15:24:19 UTC,80968,Shell,4.45
discourse/discourse,2013-01-12 00:25:55 UTC,2018-12-21 04:34:19 UTC,26952,Ruby,4.45
tastejs/todomvc,2011-06-03 19:56:33 UTC,2018-12-04 14:37:18 UTC,24693,JavaScript,4.46
jashkenas/backbone,2010-09-30 19:41:28 UTC,2018-12-14 21:14:42 UTC,27351,JavaScript,4.49
spring-projects/spring-framework,2010-12-08 04:04:45 UTC,2018-12-22 13:46:45 UTC,25543,Java,4.49
domnikl/DesignPatternsPHP,2011-08-22 05:24:31 UTC,2018-12-04 01:32:58 UTC,16308,PHP,4.5
caolan/async,2010-06-01 21:01:30 UTC,2018-10-01 01:09:17 UTC,24691,JavaScript,4.51
jekyll/jekyll,2008-10-20 06:29:03 UTC,2018-12-09 04:14:15 UTC,36213,Ruby,4.59
mrdoob/three.js,2010-03-23 18:58:01 UTC,2018-12-21 12:12:09 UTC,47340,JavaScript,4.59
vuejs/vue,2013-07-29 03:24:51 UTC,2018-12-14 08:05:50 UTC,122099,JavaScript,4.6
lodash/lodash,2012-04-07 04:11:46 UTC,2018-12-21 18:24:00 UTC,36397,JavaScript,4.61
zxing/zxing,2011-10-12 14:07:27 UTC,2018-09-26 15:27:11 UTC,20127,Java,4.61
